Id,MSSubClass,MSZoning,LotArea,Street,LotShape,LandContour,Utilities,LotConfig,Neighborhood,Condition1,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,Exterior1st,MasVnrArea,Foundation,BsmtFinSF1,BsmtUnfSF,TotalBsmtSF,Heating,CentralAir,1stFlrSF,2ndFlrSF,GrLivArea,BsmtFullBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,Fireplaces,GarageCars,GarageArea,WoodDeckSF,OpenPorchSF,PoolArea,YrSold,MoSold,SalePrice
1,80,RL,17430,Pave,Reg,Lvl,AllPub,Corner,BrkSide,Feedr,Duplex,2Story,10,6,1985,1952,Gambrel,VinylSd,203.0,PConc,395.0,875,16,GasA,Y,512,830,1782,1,1,1,5,2,8,2,2,430.0,171,258,25,2007,2,412188.4114208097
2,50,RL,8041,Grvl,IR3,Bnk,AllPub,CulDSac,Edwards,RRAn,1Fam,2Story,6,3,1982,1986,Gambrel,MetalSd,252.0,BrkTil,1232.0,240,913,Grav,Y,1433,71,3471,2,2,2,3,2,7,2,0,277.0,395,138,0,2008,11,417844.0308537498
3,60,RL,5105,Grvl,IR1,HLS,NoSewr,Inside,BrkSide,Norm,Duplex,1.5Fin,9,1,2013,1964,Gambrel,HdBoard,141.0,BrkTil,1486.0,250,225,GasW,N,1676,754,1027,1,2,2,5,1,4,1,0,316.0,69,274,80,2007,9,341336.541512073
4,80,RH,14078,Grvl,IR2,HLS,NoSewr,Corner,CollgCr,Norm,Twnhs,1Story,2,6,1975,2000,Gable,VinylSd,301.0,CBlock,585.0,134,651,Grav,N,738,1154,2843,2,2,0,4,2,10,0,0,637.0,70,43,98,2007,1,339007.1580008631
5,40,FV,13619,Pave,IR2,Lvl,NoSewr,FR2,BrkSide,Norm,Twnhs,1.5Fin,2,1,1997,1997,Flat,VinylSd,142.0,BrkTil,1250.0,89,1679,Grav,Y,1713,456,2777,2,2,2,5,1,8,2,0,811.0,254,258,26,2008,9,389469.0886414585
6,90,RH,18616,Grvl,Reg,HLS,NoSewr,Corner,Edwards,Feedr,Twnhs,1.5Fin,7,9,1989,1957,Hip,HdBoard,450.0,PConc,,590,259,GasW,N,1162,904,2864,1,1,2,5,1,5,1,3,357.0,455,112,49,2007,12,443115.3604852447
7,60,FV,6895,Grvl,IR2,HLS,NoSewr,Corner,CollgCr,Feedr,Duplex,1.5Fin,2,1,1966,1962,Gambrel,VinylSd,270.0,BrkTil,947.0,439,1752,Grav,Y,1609,478,2408,2,3,2,4,2,3,2,3,275.0,130,226,65,2006,7,370577.1065258512
8,60,RH,11090,Grvl,IR1,Bnk,AllPub,CulDSac,NAmes,Artery,1Fam,SLvl,2,6,1989,1997,Gable,MetalSd,306.0,PConc,92.0,688,673,Wall,N,1544,51,811,2,3,0,4,1,7,0,3,876.0,48,64,99,2010,12,256711.99917486083
9,80,RH,13508,Grvl,IR2,Bnk,AllPub,FR2,Edwards,Feedr,1Fam,SLvl,4,1,1956,1952,Flat,HdBoard,471.0,PConc,1483.0,297,1627,GasA,N,1193,1003,2322,1,2,0,3,2,4,2,0,689.0,20,162,64,2008,2,318789.7193477089
10,30,,11082,Grvl,Reg,Lvl,AllPub,Corner,OldTown,RRAn,2fmCon,1.5Fin,9,7,2006,2014,Hip,Wd Sdng,499.0,BrkTil,320.0,406,173,Wall,N,1842,573,1491,0,2,0,1,2,4,0,3,343.0,391,163,9,2008,11,398389.175077015
